Single Year of Age,Both sexes,Female,Male,Male_minus_Female
0,57796,28186,29610,1424
1,56420,27545,28875,1330
2,59210,28974,30236,1262
3,60484,29483,31001,1518
4,61505,29819,31686,1867
5,64026,31342,32684,1342
6,66714,32622,34092,1470
7,69001,33572,35429,1857
8,70733,34437,36296,1859
9,72196,35227,36969,1742
10,74101,36066,38035,1969
11,75159,36863,38296,1433
12,76254,37297,38957,1660
13,75256,36782,38474,1692
14,73432,36080,37352,1272
15,70440,34492,35948,1456
16,67814,33168,34646,1478
17,68026,33045,34981,1936
18,66752,32852,33900,1048
19,64596,31729,32867,1138
20,63744,31624,32120,496
21,60661,29890,30771,881
22,62218,30768,31450,682
23,60922,30051,30871,820
24,59598,29364,30234,870
25,59263,29294,29969,675
26,58240,28864,29376,512
27,58690,29528,29162,366
28,58690,29788,28902,886
29,60925,30936,29989,947
30,63699,32841,30858,1983
31,65947,33710,32237,1473
32,66795,34382,32413,1969
33,66377,34489,31888,2601
34,69405,36284,33121,3163
35,72635,37940,34695,3245
36,74858,39030,35828,3202
37,75620,39193,36427,2766
38,78415,40902,37513,3389
39,81341,42592,38749,3843
40,83444,43143,40301,2842
41,85097,43696,41401,2295
42,84981,43337,41644,1693
43,80683,41408,39275,2133
44,77319,39379,37940,1439
45,76216,38506,37710,796
46,75416,38127,37289,838
47,74524,37471,37053,418
48,73617,37145,36472,673
49,73731,37081,36650,431
50,72249,36199,36050,149
51,69951,35025,34926,99
52,68770,34414,34356,58
53,64815,32204,32611,407
54,64218,32168,32050,118
55,62916,31563,31353,210
56,61963,31279,30684,595
57,62655,31764,30891,873
58,60435,30660,29775,885
59,59196,30000,29196,804
60,57518,29063,28455,608
61,56705,28856,27849,1007
62,55015,27899,27116,783
63,52196,26312,25884,428
64,51236,26109,25127,982
65,50083,25183,24900,283
66,48421,24662,23759,903
67,48151,24524,23627,897
68,45520,23018,22502,516
69,45969,23375,22594,781
70,43150,21897,21253,644
71,41685,21236,20449,787
72,41124,21159,19965,1194
73,39255,20134,19121,1013
74,37670,19177,18493,684
75,35767,18294,17473,821
76,33759,17665,16094,1571
77,30572,15971,14601,1370
78,28058,14666,13392,1274
79,26104,13938,12166,1772
80,22847,12173,10674,1499
81,20661,11191,9470,1721
82,19538,10759,8779,1980
83,17885,9985,7900,2085
84,15655,8890,6765,2125
85,14457,8303,6154,2149
86,12871,7501,5370,2131
87,11281,6766,4515,2251
88,9698,5927,3771,2156
89,7997,4961,3036,1925
90,6729,4285,2444,1841
91,5731,3781,1950,1831
92,4106,2809,1297,1512
93,3257,2320,937,1383
94,2455,1737,718,1019
95,1826,1344,482,862
96,1283,956,327,629
97,949,732,217,515
98,622,492,130,362
99,441,336,105,231
100,738,584,154,430
